tempo de leitura: 0.020722
Iteracao	Erro < 0.001000
1083		0.003232
1084		0.003060
1085		0.002167
1086		0.002552
1087		0.002520
1088		0.003055
1089		0.003117
1090		0.002815
1091		0.003075
1092		0.002195
1093		0.001936
1094		0.003028
1095		0.003620
1096		0.004545
1097		0.004890
1098		0.002636
1099		0.002908
1100		0.003225
1101		0.002975
1102		0.001824
1103		0.002006
1104		0.002906
1105		0.003322
1106		0.003490
1107		0.002653
1108		0.002596
1109		0.002766
1110		0.001950
1111		0.002478
1112		0.002688
1113		0.002214
1114		0.002167
1115		0.002496
1116		0.002118
1117		0.002543
1118		0.003254
1119		0.002461
1120		0.002253
1121		0.002689
1122		0.002033
1123		0.002615
1124		0.002649
1125		0.002899
1126		0.001181
1127		0.000133
Numero de Interacoes: 1128
RowTest: 4 => [85.000835] =? 85.000000
tempo de execucao: 0.860286
X[0] = -0.030329
X[1] = 0.098185
X[2] = -0.058442
X[3] = 0.094169
X[4] = 0.238747
X[5] = 0.162441
X[6] = 0.206618
X[7] = 0.166457
X[8] = 0.009831
X[9] = 0.114248
X[10] = 0.041959
X[11] = 0.266858
X[12] = -0.070491
X[13] = 0.214649
X[14] = 0.270874
X[15] = 0.017862
X[16] = 0.146376
X[17] = 0.294970
X[18] = -0.014267
X[19] = 0.098183
X[20] = 0.017861
X[21] = 0.294970
X[22] = 0.294969
X[23] = 0.118263
X[24] = 0.134327
X[25] = 0.094166
X[26] = -0.010252
X[27] = -0.002220
X[28] = -0.094589
X[29] = 0.198583
X[30] = 0.013844
X[31] = 0.186535
X[32] = 0.206615
X[33] = 0.266856
X[34] = -0.014269
X[35] = -0.046397
X[36] = 0.130310
X[37] = 0.102197
X[38] = 0.029908
X[39] = 0.049988
X[40] = -0.082542
X[41] = 0.178502
X[42] = 0.017859
X[43] = 0.162437
X[44] = -0.098607
X[45] = 0.198582
X[46] = 0.090148
X[47] = 0.150389
X[48] = 0.194566
X[49] = 0.178501
X[50] = 0.162437
X[51] = 0.126292
X[52] = -0.018286
X[53] = -0.034350
X[54] = 0.154405
X[55] = 0.218662
X[56] = 0.162437
X[57] = 0.246774
X[58] = -0.082543
X[59] = -0.022303
X[60] = -0.042383
X[61] = 0.246774
X[62] = 0.270870
X[63] = 0.266854
X[64] = 0.214645
X[65] = 0.166452
X[66] = 0.134323
X[67] = 0.258821
X[68] = -0.030335
X[69] = 0.266853
X[70] = 0.218660
X[71] = 0.202596
X[72] = 0.146371
X[73] = 0.150387
X[74] = 0.274885
X[75] = -0.042384
X[76] = 0.258821
X[77] = 0.066050
X[78] = 0.021873
X[79] = 0.158419
X[80] = 0.154403
X[81] = 0.286933
X[82] = 0.194563
X[83] = 0.238740
X[84] = -0.046400
X[85] = 0.049985
X[86] = -0.034352
X[87] = 0.025889
X[88] = -0.002224
X[89] = 0.198579
X[90] = 0.106210
X[91] = 0.266852
X[92] = 0.146370
X[93] = 0.286933
X[94] = 0.045969
X[95] = 0.270868
X[96] = 0.154402
X[97] = 0.282916
X[98] = 0.037937
X[99] = 0.037937
X[100] = 0.250788
X[101] = -0.038369
X[102] = -0.058449
X[103] = -0.090578
X[104] = 0.021872
X[105] = 0.126290
X[106] = -0.030337
X[107] = -0.018288
X[108] = 0.294965
X[109] = 0.094161
X[110] = 0.049985
X[111] = -0.042385
X[112] = 0.082113
X[113] = -0.054433
X[114] = -0.054433
X[115] = 0.098177
X[116] = 0.174483
X[117] = 0.074081
X[118] = 0.009824
X[119] = 0.074081
X[120] = 0.286932
X[121] = -0.022305
X[122] = 0.130306
X[123] = 0.082113
X[124] = 0.126290
